player,total_balls_bowled,total_runs_conceded,avg_runs_per_spell,total_wickets,avg_wickets_per_spell,total_dots,avg_economy,avg_bowling_sr,avg_dot_pct,spells_bowled,bowling_average
A Choudhary,108,144,28.8,5,1.0,49,7.886,16.4,47.025999999999996,5,28.8
A Dananjaya,291,379,31.583333333333332,8,0.6666666666666666,108,7.898333333333333,7.25,37.079166666666666,12,47.38
A Gardner,475,400,25.0,17,1.0625,246,6.175625,13.729375000000001,40.23625,16,23.53
A Hartley,310,232,29.0,7,0.875,178,5.13375,28.25,53.714999999999996,8,33.14
A Khaka,815,593,34.88235294117647,24,1.411764705882353,520,5.087058823529412,19.45294117647059,62.644705882352945,17,24.71
A Mishra,877,983,28.085714285714285,46,1.3142857142857143,358,7.551714285714286,11.954285714285714,37.69771428571429,35,21.37
A Mohammed,153,160,26.666666666666668,2,0.3333333333333333,63,6.695,7.333333333333333,39.75,6,80.0
A Nehra,223,312,31.2,13,1.3,92,8.123000000000001,9.95,42.598,10,24.0
A Shrubsole,303,322,29.272727272727273,7,0.6363636363636364,171,6.583636363636364,7.984545454545454,55.08,11,46.0
A Vala,257,169,28.166666666666668,7,1.1666666666666667,165,4.968333333333334,21.083333333333332,55.435,6,24.14
A Wellington,419,360,27.692307692307693,18,1.3846153846153846,219,5.512307692307692,19.73076923076923,49.432307692307695,13,20.0
A Zampa,732,766,36.476190476190474,25,1.1904761904761905,291,6.522857142857142,17.896666666666665,39.88095238095238,21,30.64
AA Patil,188,243,30.375,9,1.125,62,7.86125,10.02125,32.86,8,27.0
AC Agar,217,261,23.727272727272727,9,0.8181818181818182,73,8.153636363636364,6.545454545454546,32.04636363636364,11,29.0
AC Evans,187,241,34.42857142857143,10,1.4285714285714286,83,8.157142857142857,10.31,42.604285714285716,7,24.1
AC Jayangani,391,360,25.714285714285715,7,0.5,180,6.340714285714285,14.428571428571429,46.05285714285714,14,51.43
AC Kerr,703,507,24.142857142857142,27,1.2857142857142858,377,4.566190476190476,18.05142857142857,50.50619047619048,21,18.78
AD Mathews,81,126,25.2,1,0.2,22,9.096,3.6,28.218,5,126.0
AD Russell,374,588,24.5,22,0.9166666666666666,137,9.705833333333333,7.236250000000001,36.245,24,26.73
AE Satterthwaite,388,313,24.076923076923077,10,0.7692307692307693,189,6.0346153846153845,11.115384615384615,41.809999999999995,13,31.3
AF Milne,299,350,38.888888888888886,11,1.2222222222222223,149,7.603333333333334,18.925555555555555,47.79666666666666,9,31.82
AG Cremer,347,314,31.4,3,0.3,160,6.192,14.4,42.391,10,104.67
AJ Tye,1153,1405,32.674418604651166,81,1.8837209302325582,471,7.718372093023255,10.13860465116279,38.98488372093023,43,17.35
AL Phehlukwayo,647,658,32.9,28,1.4,309,6.372999999999999,13.229,46.212,20,23.5
AM Peterson,321,278,16.352941176470587,18,1.0588235294117647,153,5.528823529411764,9.342941176470587,44.94941176470588,17,15.44
AR Nurse,843,828,43.578947368421055,24,1.263157894736842,366,6.567368421052632,25.741052631578945,40.21526315789474,19,34.5
AR Patel,1153,1161,27.0,34,0.7906976744186046,498,7.10813953488372,14.465116279069768,36.585813953488376,43,34.15
AS Joseph,444,521,52.1,20,2.0,195,7.851000000000001,14.544999999999998,43.852,10,26.05
AS Rajpoot,329,453,28.3125,18,1.125,154,8.729375,8.664375,44.83875,16,25.17
ASS Fletcher,95,119,19.833333333333332,7,1.1666666666666667,40,8.793333333333335,3.611666666666667,39.910000000000004,6,17.0
AU Rashid,1514,1441,41.17142857142857,62,1.7714285714285714,692,6.061428571428571,24.244285714285713,43.186,35,23.24
Ahmed Raza,370,285,31.666666666666668,6,0.6666666666666666,195,5.428888888888888,22.166666666666668,48.32555555555555,9,47.5
Aiman Anwer,180,144,24.0,4,0.6666666666666666,113,5.579999999999999,15.666666666666666,58.275,6,36.0
Aizaz Khan,354,377,34.27272727272727,12,1.0909090909090908,183,6.433636363636364,21.181818181818183,48.73272727272727,11,31.42
Aliya Riaz,157,147,24.5,1,0.16666666666666666,93,5.641666666666667,6.166666666666667,57.211666666666666,6,147.0
Amjad Javed,205,171,24.428571428571427,8,1.1428571428571428,130,5.2457142857142856,4.1657142857142855,61.332857142857144,7,21.38
Ankit Soni,112,145,24.166666666666668,4,0.6666666666666666,41,8.845,3.6666666666666665,31.645,6,36.25
Anshuman Rath,217,106,17.666666666666668,13,2.1666666666666665,149,4.575,9.888333333333334,53.03,6,8.15
Asmavia Iqbal,425,396,44.0,10,1.1111111111111112,241,5.775555555555556,18.981111111111108,56.75555555555556,9,39.6
Avesh Khan,160,259,32.375,5,0.625,66,10.65375,6.0625,39.28375,8,51.8
B Kumar,1487,1708,31.054545454545455,72,1.309090909090909,712,7.165818181818182,13.621272727272727,46.87018181818182,55,23.72
B Laughlin,134,212,30.285714285714285,9,1.2857142857142858,41,9.4,8.642857142857142,32.21857142857143,7,23.56
B Stanlake,517,649,32.45,25,1.25,271,7.781000000000001,13.796000000000001,51.878499999999995,20,25.96
BA Stokes,1348,1586,31.72,47,0.94,599,7.4154,14.6532,42.583999999999996,50,33.74
BB Sran,364,410,34.166666666666664,16,1.3333333333333333,204,7.916666666666667,15.479166666666666,52.20416666666667,12,25.62
BCJ Cutting,260,435,29.0,8,0.5333333333333333,66,10.412666666666667,10.333333333333334,25.57133333333333,15,54.38
BJ McCarthy,354,434,48.22222222222222,15,1.6666666666666667,153,7.872222222222222,29.555555555555557,40.904444444444444,9,28.93
BM Wheeler,140,216,36.0,7,1.1666666666666667,63,9.208333333333334,9.666666666666666,45.410000000000004,6,30.86
BMAJ Mendis,105,135,22.5,6,1.0,31,7.963333333333334,14.0,29.781666666666666,6,22.5
BMSM Kumari,171,142,20.285714285714285,7,1.0,91,5.138571428571429,7.857142857142857,50.87571428571429,7,20.29
BTJ Wheal,183,203,40.6,5,1.0,96,7.384,29.4,49.38,5,40.6
Basil Thampi,340,543,33.9375,20,1.25,107,9.29875,11.96875,32.56,16,27.15
Bipul Sharma,98,129,21.5,3,0.5,32,7.591666666666666,9.0,32.19,6,43.0
Bismah Maroof,153,119,13.222222222222221,2,0.2222222222222222,74,5.546666666666667,6.111111111111111,43.87,9,59.5
C Munro,140,169,15.363636363636363,3,0.2727272727272727,52,8.242727272727272,4.545454545454546,32.42545454545455,11,56.33
C de Grandhomme,733,873,22.973684210526315,24,0.631578947368421,289,8.129473684210527,9.96921052631579,33.53552631578947,38,36.38
CA Soper,181,155,31.0,11,2.2,114,5.144,17.368000000000002,57.826,5,14.09
CA Young,258,309,44.142857142857146,9,1.2857142857142858,145,8.8,20.904285714285713,49.145714285714284,7,34.33
CB Mpofu,153,200,40.0,4,0.8,66,8.258,19.5,43.44,5,50.0
CB Sole,282,286,35.75,7,0.875,155,6.90875,9.0625,51.3575,8,40.86
CD de Lange,184,170,28.333333333333332,13,2.1666666666666665,82,5.888333333333333,14.945,43.01333333333333,6,13.08
CH Morris,1044,1221,34.885714285714286,46,1.3142857142857143,502,7.48,9.587714285714286,46.09714285714286,35,26.54
CJ Anderson,332,461,28.8125,14,0.875,116,8.72,8.729375000000001,34.875,16,32.93
CJ Chibhabha,214,194,19.4,5,0.5,111,7.404999999999999,9.2,38.018,10,38.8
CJ Dala,139,191,31.833333333333332,11,1.8333333333333333,66,8.331666666666667,9.305,47.47833333333333,6,17.36
CJ Jordan,429,615,34.166666666666664,25,1.3888888888888888,170,8.587777777777779,9.731666666666667,40.31666666666667,18,24.6
CJ Metcalfe,262,218,43.6,1,0.2,159,4.87,12.0,61.470000000000006,5,218.0
CL Tryon,214,189,27.0,1,0.14285714285714285,111,7.252857142857143,8.571428571428571,42.65,7,189.0
CR Brathwaite,825,1020,34.0,35,1.1666666666666667,331,8.750666666666666,11.514999999999999,35.837333333333326,30,29.14
CR Woakes,1297,1391,38.638888888888886,59,1.6388888888888888,698,6.987777777777778,15.194444444444445,51.090833333333336,36,23.58
D Bishoo,420,366,40.666666666666664,7,0.7777777777777778,215,5.717777777777778,16.981111111111108,47.90777777777778,9,52.29
D Hazell,634,555,29.210526315789473,23,1.2105263157894737,326,6.471052631578948,17.675789473684212,45.30631578947368,19,24.13
D Paterson,301,393,43.666666666666664,11,1.2222222222222223,141,8.22111111111111,13.203333333333333,42.82222222222222,9,35.73
D Pretorius,403,346,38.44444444444444,13,1.4444444444444444,215,5.644444444444445,22.074444444444445,50.906666666666666,9,26.62
D van Niekerk,727,516,23.454545454545453,24,1.0909090909090908,429,5.000909090909091,15.659090909090908,53.14545454545455,22,21.5
DAS Gunaratne,437,377,25.133333333333333,17,1.1333333333333333,192,6.942666666666667,20.043999999999997,38.18066666666667,15,22.18
DB Sharma,677,458,30.533333333333335,19,1.2666666666666666,415,5.2733333333333325,26.288666666666664,53.82333333333334,15,24.11
DJ Bravo,502,777,33.78260869565217,27,1.173913043478261,155,9.387391304347826,11.322608695652175,30.563478260869566,23,28.78
DJ Hooda,49,75,12.5,2,0.3333333333333333,15,9.475,3.0,29.916666666666668,6,37.5
DJ Willey,711,862,33.15384615384615,18,0.6923076923076923,360,7.807307692307693,13.68576923076923,49.55615384615385,26,47.89
DJS Dottin,206,216,24.0,6,0.6666666666666666,107,6.494444444444444,5.203333333333333,53.26555555555555,9,36.0
DL Chahar,510,608,25.333333333333332,22,0.9166666666666666,260,7.65125,11.992916666666666,49.875,24,27.64
DM Kimmince,151,203,25.375,12,1.5,52,8.651250000000001,13.97875,34.35125,8,16.92
DP Vaidya,135,72,14.4,7,1.4,92,3.4480000000000004,16.1,68.208,5,10.29
DR Smith,82,151,16.77777777777778,2,0.2222222222222222,24,12.855555555555556,2.0,26.974444444444444,9,75.5
DS Kulkarni,644,789,29.22222222222222,21,0.7777777777777778,312,8.195555555555556,14.314814814814815,44.32703703703704,27,37.57
DT Christian,320,409,24.058823529411764,16,0.9411764705882353,110,7.6364705882352935,10.470588235294118,34.69176470588235,17,25.56
DT Tiripano,196,169,21.125,9,1.125,116,5.3675,8.78125,58.06,8,18.78
Diana Baig,208,169,28.166666666666668,5,0.8333333333333334,129,5.285,26.583333333333332,57.98,6,33.8
E Bisht,609,342,31.09090909090909,29,2.6363636363636362,417,3.5318181818181817,27.14272727272727,66.77,11,11.79
EA Perry,629,572,30.105263157894736,22,1.1578947368421053,372,5.806315789473684,16.81578947368421,57.283684210526324,19,26.0
EJ Villani,162,135,22.5,2,0.3333333333333333,89,5.505,12.333333333333334,54.185,6,67.5
EM Bermingham,204,209,26.125,2,0.25,89,6.7212499999999995,0.75,36.878750000000004,8,104.5
EMDY Munaweera,64,93,18.6,2,0.4,19,10.11,7.4,29.654000000000003,5,46.5
Ehsan Khan,466,359,32.63636363636363,17,1.5454545454545454,283,5.429090909090909,32.833636363636366,55.23727272727273,11,21.12
Ehsan Nawaz,104,124,20.666666666666668,3,0.5,60,9.133333333333333,3.6666666666666665,47.63166666666667,6,41.33
Faheem Ashraf,327,380,22.352941176470587,20,1.1764705882352942,147,6.925294117647059,10.960588235294116,43.648823529411764,17,19.0
GH Dockrell,552,516,32.25,18,1.125,252,6.101875,13.598749999999999,41.95,16,28.67
GH Lewis,221,186,37.2,6,1.2,104,4.774,14.9,50.53,5,31.0
GJ Maxwell,310,389,14.961538461538462,19,0.7307692307692307,116,7.897692307692308,5.3076923076923075,36.22846153846154,26,20.47
Ghulam Fatima,195,144,28.8,6,1.2,114,4.6259999999999994,18.9,57.572,5,24.0
H Kaur,239,213,16.384615384615383,7,0.5384615384615384,116,5.795384615384616,9.538461538461538,42.78923076923077,13,30.43
HASD Siriwardene,228,192,27.428571428571427,7,1.0,109,5.54,11.771428571428572,42.68,7,27.43
HC Knight,262,246,24.6,9,0.9,123,6.856,11.95,40.839999999999996,10,27.33
HH Pandya,1482,1823,28.484375,63,0.984375,644,8.03796875,11.450312499999999,38.7790625,64,28.94
HK Matthews,178,209,26.125,8,1.0,78,8.78125,11.75,37.72125,8,26.12
HM Rowe,207,178,19.77777777777778,11,1.2222222222222223,125,7.018888888888889,7.805555555555555,50.522222222222226,9,16.18
HNK Jensen,140,176,25.142857142857142,7,1.0,59,7.581428571428572,4.261428571428572,42.02285714285714,7,25.14
HR Huddleston,489,335,25.76923076923077,25,1.9230769230769231,324,4.188461538461539,18.5,64.79923076923077,13,13.4
HV Patel,186,289,36.125,13,1.625,68,9.40625,18.2075,36.17625,8,22.23
Harbhajan Singh,538,623,23.074074074074073,24,0.8888888888888888,219,7.558148148148148,8.148148148148149,38.89740740740741,27,25.96
Hasan Ali,1226,1315,35.54054054054054,68,1.837837837837838,609,6.872432432432433,17.343513513513514,49.17675675675675,37,19.34
I Ranaweera,625,530,33.125,18,1.125,354,5.784375,13.0625,54.90875,16,29.44
I Sharma,233,335,27.916666666666668,6,0.5,103,8.666666666666666,4.916666666666667,42.65833333333333,12,55.83
I Udana,174,220,24.444444444444443,10,1.1111111111111112,59,7.388888888888889,15.555555555555555,34.80777777777777,9,22.0
IMHC Joyce,273,156,31.2,6,1.2,182,3.2660000000000005,27.25,68.332,5,26.0
IS Sodhi,892,957,33.0,35,1.206896551724138,365,6.861034482758621,22.56896551724138,38.57689655172414,29,27.34
Imad Wasim,991,843,31.22222222222222,27,1.0,483,5.33037037037037,16.881481481481483,47.561481481481486,27,31.22
Imran Haider,336,279,34.875,14,1.75,181,5.78,19.822499999999998,49.379999999999995,8,19.93
Imran Tahir,1334,1424,31.644444444444446,70,1.5555555555555556,576,7.057333333333333,15.619555555555555,39.821111111111115,45,20.34
J Goswami,326,305,30.5,10,1.0,183,5.922,19.532999999999998,53.645,10,30.5
JA Richardson,228,270,33.75,11,1.375,116,7.5075,21.375,47.97125,8,24.55
JB Reva,175,164,27.333333333333332,7,1.1666666666666667,86,6.94,16.695,44.61666666666667,6,23.43
JC Archer,415,532,31.294117647058822,22,1.2941176470588236,188,7.672941176470588,11.460588235294118,45.6,17,24.18
JD Unadkat,922,1305,31.071428571428573,59,1.4047619047619047,374,8.62547619047619,12.909761904761906,40.19261904761905,42,22.12
JDS Neesham,591,631,31.55,15,0.75,300,6.9905,11.233,48.162,20,42.07
JE Root,306,270,22.5,7,0.5833333333333334,137,5.3933333333333335,4.764166666666667,43.115,12,38.57
JE Taylor,334,455,41.36363636363637,9,0.8181818181818182,139,8.960909090909091,12.954545454545455,40.41727272727273,11,50.56
JH Davey,161,182,36.4,10,2.0,84,7.748,23.1,46.552,5,18.2
JJ Bumrah,2110,2211,30.708333333333332,101,1.4027777777777777,1046,6.529722222222222,14.380833333333335,47.56736111111111,72,21.89
JL Carter,73,89,14.833333333333334,0,0.0,24,7.0,0.0,34.625,6,89.0
JL Gunn,254,312,28.363636363636363,11,1.0,100,7.961818181818182,3.6436363636363636,38.82272727272727,11,28.36
JL Jonassen,868,627,27.26086956521739,28,1.2173913043478262,514,4.949130434782608,19.043478260869566,55.14913043478261,23,22.39
JN Mohammed,96,92,15.333333333333334,0,0.0,44,6.625,0.0,36.946666666666665,6,92.0
JO Holder,951,883,44.15,26,1.3,488,5.8465,20.645,49.3305,20,33.96
JP Behrendorff,147,194,27.714285714285715,9,1.2857142857142858,78,7.6499999999999995,13.071428571428571,54.33857142857143,7,21.56
JP Duminy,202,225,16.071428571428573,5,0.35714285714285715,78,6.930714285714286,1.9285714285714286,39.403571428571425,14,45.0
JP Faulkner,621,734,38.63157894736842,29,1.5263157894736843,246,7.901052631578947,14.780526315789473,36.1278947368421,19,25.31
JR Hazlewood,869,706,47.06666666666667,30,2.0,509,4.866,28.856,58.74533333333333,15,23.53
JRMVB Sanjaya,183,257,32.125,10,1.25,67,8.63375,15.75,36.125,8,25.7
JT Ball,989,1052,55.36842105263158,26,1.368421052631579,488,6.611578947368422,29.18421052631579,48.28736842105263,19,40.46
Jahanara Alam,319,216,30.857142857142858,8,1.1428571428571428,224,4.327142857142857,16.952857142857145,67.73571428571428,7,27.0
Javeria Khan,218,184,23.0,6,0.75,113,5.90125,11.875,46.2975,8,30.67
Junaid Khan,536,498,49.8,18,1.8,289,5.513,27.417,54.49400000000001,10,27.67
K Gowtham,342,476,22.666666666666668,13,0.6190476190476191,125,9.2,6.119047619047619,34.82380952380952,21,36.62
K Rabada,1058,996,35.57142857142857,50,1.7857142857142858,619,6.319285714285714,18.464285714285715,54.09178571428571,28,19.92
KA Pollard,136,199,24.875,2,0.25,29,8.95375,4.625,22.67625,8,99.5
KADA Kanchana,247,240,30.0,7,0.875,125,5.9125,18.4375,49.35875,8,34.29
KC Brathwaite,153,141,28.2,1,0.2,54,5.76,12.2,35.22,5,141.0
KDU Prabodhani,442,315,26.25,9,0.75,285,4.11,13.875,66.30916666666667,12,35.0
KH Brunt,423,328,25.23076923076923,16,1.2307692307692308,266,5.269230769230769,11.5,59.67230769230769,13,20.5
KH Pandya,622,744,21.88235294117647,29,0.8529411764705882,208,7.352058823529411,5.818235294117647,31.468529411764706,34,25.66
KJ Garth,215,177,35.4,2,0.4,128,4.956,20.0,58.541999999999994,5,88.5
KJ O'Brien,305,344,31.272727272727273,10,0.9090909090909091,135,7.08909090909091,16.636363636363637,43.82181818181818,11,34.4
KL George,85,117,23.4,3,0.6,35,9.41,12.6,35.36,5,39.0
KM Beams,552,339,28.25,26,2.1666666666666665,347,3.8608333333333333,18.389166666666668,61.56333333333333,12,13.04
KM Jadhav,241,210,23.333333333333332,9,1.0,101,5.403333333333333,7.796666666666667,39.82,9,23.33
KMA Paul,176,226,28.25,8,1.0,63,7.87,10.52125,35.29875,8,28.25
KMDN Kulasekara,426,417,37.90909090909091,19,1.7272727272727273,234,6.458181818181817,20.204545454545453,50.26181818181818,11,21.95
KOK Williams,305,438,33.69230769230769,22,1.6923076923076923,108,9.136923076923077,14.346153846153847,35.78153846153846,13,19.91
KS Williamson,231,203,18.454545454545453,9,0.8181818181818182,102,6.295454545454546,12.575454545454544,37.53818181818182,11,22.56
KV Sharma,247,307,21.928571428571427,17,1.2142857142857142,100,8.126428571428571,10.45857142857143,36.82785714285715,14,18.06
KW Richardson,151,220,36.666666666666664,8,1.3333333333333333,63,8.735,9.611666666666666,41.663333333333334,6,27.5
Khadija Tul Kubra,343,235,33.57142857142857,9,1.2857142857142858,228,4.76,27.642857142857142,63.808571428571426,7,26.11
