player,special_shot,signature_style
A Balbirnie,Anchor - Straight Drive,Defensive
A Dananjaya,Anchor - Straight Drive,Defensive
A Gardner,Stroke Player - Cover Drive,Aggressive
A Khaka,Anchor - Straight Drive,Defensive
A Mishra,Balanced Batsman - Square Cut,Defensive
A Mohammed,Anchor - Straight Drive,Defensive
A Vala,Anchor - Straight Drive,Defensive
A Zampa,Anchor - Straight Drive,Defensive
AB de Villiers,Aggressive Batsman - Pull Shot,Aggressive
AC Agar,Balanced Batsman - Square Cut,Defensive
AC Jayangani,Anchor - Straight Drive,Defensive
AD Hales,Balanced Batsman - Square Cut,Defensive
AD Mathews,Anchor - Straight Drive,Defensive
AD Russell,Power Hitter - Helicopter Shot,Aggressive
ADS Fletcher,Balanced Batsman - Square Cut,Defensive
AE Jones,Anchor - Straight Drive,Defensive
AE Satterthwaite,Anchor - Straight Drive,Defensive
AF Milne,Anchor - Straight Drive,Defensive
AG Cremer,Anchor - Straight Drive,Defensive
AJ Blackwell,Anchor - Straight Drive,Defensive
AJ Finch,Aggressive Batsman - Pull Shot,Aggressive
AJ Healy,Anchor - Straight Drive,Defensive
AJ Tye,Balanced Batsman - Square Cut,Balanced
AL Phehlukwayo,Anchor - Straight Drive,Defensive
AM Peterson,Balanced Batsman - Square Cut,Defensive
AM Rahane,Anchor - Straight Drive,Defensive
AR Nurse,Balanced Batsman - Square Cut,Defensive
AR Patel,Stroke Player - Cover Drive,Balanced
ASS Fletcher,Anchor - Straight Drive,Defensive
AT Carey,Balanced Batsman - Square Cut,Defensive
AT Rayudu,Balanced Batsman - Square Cut,Defensive
AU Rashid,Stroke Player - Cover Drive,Balanced
Adnan Mufti,Anchor - Straight Drive,Defensive
Ahmed Raza,Anchor - Straight Drive,Defensive
Ahmed Shehzad,Anchor - Straight Drive,Defensive
Aizaz Khan,Anchor - Straight Drive,Defensive
Aliya Riaz,Anchor - Straight Drive,Defensive
Anshuman Rath,Anchor - Straight Drive,Defensive
Asif Ali,Power Hitter - Helicopter Shot,Aggressive
Asmavia Iqbal,Anchor - Straight Drive,Defensive
Ayesha Zafar,Anchor - Straight Drive,Defensive
Azhar Ali,Anchor - Straight Drive,Defensive
B Kumar,Anchor - Straight Drive,Defensive
BA Stokes,Balanced Batsman - Square Cut,Defensive
BB McCullum,Stroke Player - Cover Drive,Balanced
BCJ Cutting,Power Hitter - Helicopter Shot,Aggressive
BJ McCarthy,Balanced Batsman - Square Cut,Defensive
BKG Mendis,Balanced Batsman - Square Cut,Defensive
BL Mooney,Anchor - Straight Drive,Defensive
BN Cooper,Balanced Batsman - Square Cut,Balanced
Babar Azam,Anchor - Straight Drive,Defensive
Babar Hayat,Balanced Batsman - Square Cut,Defensive
Basil Thampi,Balanced Batsman - Square Cut,Defensive
Bismah Maroof,Anchor - Straight Drive,Defensive
C Carter,Anchor - Straight Drive,Defensive
C Munro,Aggressive Batsman - Pull Shot,Aggressive
C de Grandhomme,Aggressive Batsman - Pull Shot,Aggressive
CA Ingram,Stroke Player - Cover Drive,Aggressive
CA Lynn,Stroke Player - Cover Drive,Balanced
CAK Walton,Balanced Batsman - Square Cut,Defensive
CD Wallace,Balanced Batsman - Square Cut,Defensive
CD de Lange,Balanced Batsman - Square Cut,Defensive
CH Gayle,Stroke Player - Cover Drive,Balanced
CH Morris,Stroke Player - Cover Drive,Balanced
CJ Anderson,Balanced Batsman - Square Cut,Defensive
CJ Chibhabha,Anchor - Straight Drive,Defensive
CL Tryon,Stroke Player - Cover Drive,Aggressive
CMA Shillington,Anchor - Straight Drive,Defensive
CN Nation,Anchor - Straight Drive,Defensive
CNIM Joyce,Anchor - Straight Drive,Defensive
CR Brathwaite,Balanced Batsman - Square Cut,Balanced
CR Ervine,Anchor - Straight Drive,Defensive
CR Woakes,Balanced Batsman - Square Cut,Balanced
CS MacLeod,Anchor - Straight Drive,Defensive
D Bishoo,Anchor - Straight Drive,Defensive
D Hazell,Balanced Batsman - Square Cut,Defensive
D Ramdin,Balanced Batsman - Square Cut,Defensive
D van Niekerk,Anchor - Straight Drive,Defensive
DA Miller,Balanced Batsman - Square Cut,Defensive
DA Warner,Balanced Batsman - Square Cut,Balanced
DAS Gunaratne,Balanced Batsman - Square Cut,Defensive
DB Sharma,Anchor - Straight Drive,Defensive
DG Brownlie,Anchor - Straight Drive,Defensive
DJ Bravo,Stroke Player - Cover Drive,Balanced
DJ Hooda,Aggressive Batsman - Pull Shot,Aggressive
DJ Malan,Stroke Player - Cover Drive,Aggressive
DJ Willey,Balanced Batsman - Square Cut,Defensive
DJM Short,Balanced Batsman - Square Cut,Balanced
DJS Dottin,Anchor - Straight Drive,Defensive
DM de Silva,Anchor - Straight Drive,Defensive
DN Wyatt,Stroke Player - Cover Drive,Balanced
DR Smith,Stroke Player - Cover Drive,Balanced
DT Christian,Balanced Batsman - Square Cut,Balanced
DT Tiripano,Balanced Batsman - Square Cut,Defensive
E Chigumbura,Balanced Batsman - Square Cut,Defensive
E Lewis,Balanced Batsman - Square Cut,Defensive
EA Perry,Anchor - Straight Drive,Defensive
EC Perry,Anchor - Straight Drive,Defensive
EJ Villani,Anchor - Straight Drive,Defensive
EJG Morgan,Balanced Batsman - Square Cut,Defensive
EM Bermingham,Anchor - Straight Drive,Defensive
EMDY Munaweera,Stroke Player - Cover Drive,Aggressive
Ehsan Khan,Balanced Batsman - Square Cut,Defensive
F Behardien,Aggressive Batsman - Pull Shot,Aggressive
F du Plessis,Anchor - Straight Drive,Defensive
FC Wilson,Anchor - Straight Drive,Defensive
Faheem Ashraf,Power Hitter - Helicopter Shot,Aggressive
Fakhar Zaman,Stroke Player - Cover Drive,Balanced
Fargana Hoque,Anchor - Straight Drive,Defensive
G Gambhir,Anchor - Straight Drive,Defensive
GC Wilson,Balanced Batsman - Square Cut,Defensive
GD Phillips,Balanced Batsman - Square Cut,Defensive
GH Dockrell,Balanced Batsman - Square Cut,Defensive
GH Lewis,Anchor - Straight Drive,Defensive
GJ Maxwell,Stroke Player - Cover Drive,Balanced
GWHM Perera,Anchor - Straight Drive,Defensive
Ghulam Shabber,Anchor - Straight Drive,Defensive
H Kaur,Balanced Batsman - Square Cut,Defensive
H Klaasen,Aggressive Batsman - Pull Shot,Aggressive
H Masakadza,Balanced Batsman - Square Cut,Defensive
HASD Siriwardene,Anchor - Straight Drive,Defensive
HC Knight,Balanced Batsman - Square Cut,Balanced
HG Munsey,Balanced Batsman - Square Cut,Defensive
HH Pandya,Power Hitter - Helicopter Shot,Aggressive
HK Matthews,Anchor - Straight Drive,Defensive
HM Amla,Anchor - Straight Drive,Defensive
Harbhajan Singh,Balanced Batsman - Square Cut,Defensive
Hasan Ali,Stroke Player - Cover Drive,Balanced
Hussain Talat,Anchor - Straight Drive,Defensive
I Ranaweera,Anchor - Straight Drive,Defensive
I Udana,Stroke Player - Cover Drive,Aggressive
IMHC Joyce,Anchor - Straight Drive,Defensive
IS Sodhi,Balanced Batsman - Square Cut,Defensive
Imad Wasim,Stroke Player - Cover Drive,Balanced
Imrul Kayes,Anchor - Straight Drive,Defensive
Iram Javed,Anchor - Straight Drive,Defensive
Ishan Kishan,Stroke Player - Cover Drive,Balanced
J Charles,Balanced Batsman - Square Cut,Defensive
JC Archer,Balanced Batsman - Square Cut,Defensive
JC Buttler,Balanced Batsman - Square Cut,Balanced
JDS Neesham,Anchor - Straight Drive,Defensive
JE Root,Anchor - Straight Drive,Defensive
JE Taylor,Aggressive Batsman - Pull Shot,Aggressive
JI Rodrigues,Anchor - Straight Drive,Defensive
JJ Bumrah,Balanced Batsman - Square Cut,Defensive
JJ Roy,Balanced Batsman - Square Cut,Defensive
JL Carter,Balanced Batsman - Square Cut,Defensive
JL Jonassen,Balanced Batsman - Square Cut,Defensive
JM Bairstow,Anchor - Straight Drive,Defensive
JM Vince,Anchor - Straight Drive,Defensive
JN Mohammed,Anchor - Straight Drive,Defensive
JNK Shannon,Balanced Batsman - Square Cut,Defensive
JO Holder,Balanced Batsman - Square Cut,Defensive
JP Duminy,Balanced Batsman - Square Cut,Defensive
JP Faulkner,Anchor - Straight Drive,Defensive
Jahanara Alam,Anchor - Straight Drive,Defensive
Javeria Khan,Anchor - Straight Drive,Defensive
K Gowtham,Power Hitter - Helicopter Shot,Aggressive
K Rabada,Balanced Batsman - Square Cut,Defensive
KA Pollard,Balanced Batsman - Square Cut,Balanced
KADA Kanchana,Anchor - Straight Drive,Defensive
KC Brathwaite,Anchor - Straight Drive,Defensive
KD Karthik,Stroke Player - Cover Drive,Aggressive
KDU Prabodhani,Anchor - Straight Drive,Defensive
KH Brunt,Quick Scorer - Scoop Shot,Aggressive
KH Pandya,Stroke Player - Cover Drive,Balanced
KJ Coetzer,Stroke Player - Cover Drive,Balanced
KJ Garth,Anchor - Straight Drive,Defensive
KJ Martin,Anchor - Straight Drive,Defensive
KJ O'Brien,Stroke Player - Cover Drive,Balanced
KK Nair,Balanced Batsman - Square Cut,Defensive
KL Rahul,Stroke Player - Cover Drive,Balanced
KM Jadhav,Stroke Player - Cover Drive,Balanced
KMA Paul,Balanced Batsman - Square Cut,Defensive
KOA Powell,Anchor - Straight Drive,Defensive
KS Williamson,Balanced Batsman - Square Cut,Defensive
KT Perkins,Anchor - Straight Drive,Defensive
KV Sharma,Balanced Batsman - Square Cut,Balanced
Kamran Akmal,Balanced Batsman - Square Cut,Defensive
Kuldeep Yadav,Anchor - Straight Drive,Defensive
Kyshona A Knight,Anchor - Straight Drive,Defensive
L Delany,Anchor - Straight Drive,Defensive
L Lee,Balanced Batsman - Square Cut,Balanced
L Ronchi,Anchor - Straight Drive,Defensive
L Siaka,Anchor - Straight Drive,Defensive
L Wolvaardt,Anchor - Straight Drive,Defensive
LD Chandimal,Anchor - Straight Drive,Defensive
LE Kaushalya,Anchor - Straight Drive,Defensive
LE Plunkett,Stroke Player - Cover Drive,Aggressive
LH Ferguson,Anchor - Straight Drive,Defensive
LMM Tahuhu,Balanced Batsman - Square Cut,Balanced
LMP Simmons,Balanced Batsman - Square Cut,Defensive
LRPL Taylor,Anchor - Straight Drive,Defensive
Liton Das,Balanced Batsman - Square Cut,Defensive
M Kapp,Anchor - Straight Drive,Defensive
M Markande,Stroke Player - Cover Drive,Balanced
M Raj,Anchor - Straight Drive,Defensive
M Vohra,Balanced Batsman - Square Cut,Defensive
M du Preez,Anchor - Straight Drive,Defensive
MA Agarwal,Balanced Batsman - Square Cut,Balanced
